,Geography,SS_White,SS_Black,SS_Asian,SS_Other,SS_Mixed
0,Avon and Somerset,0.884066033499333,3.2661772790479575,0.7635206786850477,0.2210663198959688,1.6055451426954768
1,Bedfordshire,1.2279527616873702,3.555929352396972,1.8200785468826708,0.6397806466354392,2.2052449068053748
2,Cambridgeshire,1.5666227593867297,4.452526046785925,2.271405084102694,0.5965637925548838,2.102439328716701
3,Cheshire,0.5769087889734719,1.9607843137254901,0.49241832108801004,1.491395793499044,0.48930250407752085
4,Cleveland,5.4692130016563585,7.192648922686945,3.473218898903496,3.3829499323410013,2.3602915654286707
5,Cumbria,1.960764397459051,5.008635578583765,1.8537590113285274,0.6853582554517134,1.2380191693290734
6,Derbyshire,1.0693323647542492,2.8741328047571852,1.5676276748664262,0.35709380579590716,1.9859243258309525
7,Devon and Cornwall,1.1685571121841867,3.9941548952752073,0.7012142979305627,0.338016267032851,1.061041866410994
8,Dorset,0.8728907123476675,9.164588528678303,0.7293809612867028,0.3336113427856547,1.0308193962343537
9,Durham,0.8008404860546712,1.4177693761814745,0.29331247555729373,0.33003300330033003,0.33018867924528306
10,Dyfed-Powys,2.766319143118677,6.5420560747663545,1.6378100140383716,1.7928286852589643,2.421827099938688
11,Essex,0.31666820036958093,0.9631188903947634,0.3927709606202187,0.24066605958111098,0.6730595259634521
12,Gloucestershire,0.6951673580304996,3.6893203883495143,1.102452005322182,0.9653794940079893,1.7549936496940306
13,Greater Manchester,1.6962595018155144,4.534596542370137,2.1406454444236753,1.0466507177033493,2.6190084005929832
14,Gwent,1.3144484709863504,4.772370486656201,4.217943628423978,1.288876435976464,1.9469983775013522
15,Hampshire,1.3308283155825578,5.27371739753511,1.4036127772353186,0.70776146525752,1.8314188642614464
16,Hertfordshire,0.8492115049181838,2.0317824273112324,1.2679548963645721,1.5048231511254018,1.6874568134705603
17,Humberside,0.9621825435823057,2.044898866414759,1.2386186531047494,0.6672894701721607,1.1728772144166157
18,Kent,0.6570955307676087,2.045543948599152,0.5388845827335474,0.5436172934254284,0.681743210057545
19,Lancashire,1.7423780430064355,5.244560163660034,2.3716723047506987,0.8656343175916129,1.8588957055214725
20,Leicestershire,1.9702797027468835,6.900052796166187,2.592140747399512,0.29827315541601257,4.269005847953217
21,Lincolnshire,1.353369208768615,3.2018742678641154,1.1292346298619824,0.17611835153222966,1.2116316639741518
22,Merseyside,3.2184864357164584,5.421935129191864,1.5171608933213092,1.2030284732221654,2.5388947217714994
23,Metropolitan Police,5.057792100844881,16.61743750499565,6.9161752435239965,3.6058131665654005,5.498654287760192
24,Norfolk,1.7651790178474382,7.680624864395748,1.6311550616780506,0.6451612903225806,1.8450184501845017
25,North Wales,0.8966697678856843,1.5364061456245823,0.615530303030303,1.4157303370786518,0.6060606060606061
26,North Yorkshire,0.705272709781255,1.0226644555002764,1.4827516643130927,0.208567303064335,0.36212446351931327
27,Northamptonshire,1.7421960677726123,3.9059268451220235,2.6349585935078164,1.0837619397501836,2.404456353123678
28,Northumbria,3.1423325968355647,2.0986009327115256,2.2868032396379228,0.27418723070896983,0.9158833453844301
29,Nottinghamshire,0.3625576456341974,1.8543628834243413,0.5368098159509203,0.12285806660200453,0.7391627126303218
30,South Wales,1.073796495162951,3.0381535562882713,0.9635794883253267,0.24882206575255442,1.1203693277784033
31,South Yorkshire,1.648745578584375,3.988039763901833,2.7241126966703257,0.1333602748029905,2.313501034101294
32,Staffordshire,0.9725600512240793,2.9704128172143607,1.8294070786388985,0.32537960954446854,1.4827953174884712
33,Suffolk,0.4415784880156377,1.8675226145316601,0.4283631060882246,0.17130620985010706,0.8980115458627326
34,Surrey,1.1337505201810718,5.02815768302494,1.49897292595814,0.5565366297426019,1.4137726076250319
35,Sussex,1.2314729383506273,6.352660395900604,1.9650067294751008,0.5809686888454011,1.3417232654148354
36,Warwickshire,0.874649981806964,3.7362142696376326,1.1781773420670858,0.38734667527437056,2.65442193986665
37,West Mercia,0.8107837037490353,4.879494271039115,2.6387289891779875,0.176772140710624,1.782266448834101
38,West Midlands,0.5303422682475153,1.6578390798993106,1.0223867442270405,0.36064128004031626,0.9209596274583178
39,West Yorkshire,1.2136927978512135,2.007487735605474,1.72956646863558,0.4145883267474251,1.93450525703362
40,Wiltshire,0.7566082670030753,4.861225160124815,0.7710455147016514,1.3979031452820767,1.1741882785378803
